city_id,city_name,state,lat,lon
1436,LUDINGTON,MI,43.95,-86.44
1437,GRAND HAVEN,MI,43.05,-86.22
1438,CLARE,MI,43.82,-84.76
1439,CARSON CITY,MI,43.17,-84.84
1440,EAST CHINA,MI,42.77,-82.53
1441,CHELSEA,MI,42.31,-84.02
1442,CAMBRIDGE,MN,45.56,-93.22
1443,HIBBING,MN,47.4,-92.94
1444,ALBERT LEA,MN,43.65,-93.36
1445,WINONA,MN,44.04,-91.65
1446,WYOMING,MN,45.33,-92.99
1447,FERGUS FALLS,MN,46.28,-96.06
1448,WACONIA,MN,44.84,-93.79
1449,GRAND RAPIDS,MN,47.22,-93.52
1450,VIRGINIA,MN,47.51,-92.5
1451,WILLMAR,MN,45.12,-95.04
1452,DETROIT LAKES,MN,46.81,-95.84
1453,BURNSVILLE,MN,44.76,-93.27
1454,WOODBURY,MN,44.94,-93.1
1455,RIPLEY,MS,34.72,-88.94
1456,GRENADA,MS,33.77,-89.81
1457,EUPORA,MS,33.54,-89.27
1458,AMORY,MS,33.98,-88.48
1459,LOUISVILLE,MS,33.12,-89.05
1460,MAGNOLIA,MS,31.15,-90.46
1461,STARKVILLE,MS,33.45,-88.82
1462,BROOKHAVEN,MS,31.58,-90.44
1463,CLEVELAND,MS,33.74,-90.72
1464,BRANDON,MS,32.28,-90
1465,MCCOMB,MS,31.24,-90.46
1466,KENNETT,MO,36.24,-90.04
1467,HOUSTON,MO,37.32,-91.95
1468,WASHINGTON,MO,38.55,-91.01
1469,LEBANON,MO,37.67,-92.66
1470,SIKESTON,MO,36.88,-89.58
1471,FARMINGTON,MO,37.78,-90.42
1472,MARSHALL,MO,39.11,-93.2
1473,BOLIVAR,MO,37.6,-93.41
1474,BOZEMAN,MT,45.77,-110.93
1475,NORTH PLATTE,NE,41.13,-100.77
1476,FREMONT,NE,41.44,-96.49
1477,BELLEVUE,NE,41.15,-95.92
1478,SPARKS,NV,39.53,-119.41
1479,ROCHESTER,NH,43.3,-70.97
1480,KEENE,NH,42.95,-72.29
1481,HACKETTSTOWN,NJ,40.85,-74.82
1482,LAS VEGAS,NM,35.59,-105.22
1483,ALAMOGORDO,NM,32.88,-105.95
1484,TAOS,NM,36.38,-105.57
1485,CLOVIS,NM,34.41,-103.2
1486,ARTESIA,NM,32.84,-104.43
1487,RHINEBECK,NY,41.92,-73.9
1488,GENEVA,NY,42.86,-76.98
1489,NIAGARA FALLS,NY,43.09,-79.01
1490,MALONE,NY,44.84,-74.29
1491,PORT JERVIS,NY,41.37,-74.69
1492,POTSDAM,NY,44.66,-74.98
1493,OGDENSBURG,NY,44.7,-75.47
1494,HARRIS,NY,41.71,-74.72
1495,SPRUCE PINE,NC,35.91,-82.06
1496,SYLVA,NC,35.37,-83.22
1497,CLINTON,NC,35,-78.33
1498,LOUISBURG,NC,36.1,-78.29
1499,KINGS MOUNTAIN,NC,35.24,-81.34
1500,LENOIR,NC,35.9,-81.53
1501,VALDESE,NC,35.74,-81.55
1502,EDEN,NC,36.5,-79.74
1503,THOMASVILLE,NC,35.88,-80.07
1504,LEXINGTON,NC,35.8,-80.25
1505,KENANSVILLE,NC,34.96,-77.96
1506,HENDERSON,NC,36.32,-78.41
1507,WILLIAMSTON,NC,35.85,-77.05
1508,LINCOLNTON,NC,35.47,-81.24
1509,WASHINGTON,NC,35.55,-77.05
1510,DOVER,OH,40.52,-81.47
1511,MARION,OH,40.58,-83.12
1512,RICHMOND HEIGHT,OH,41.47,-81.67
1513,MEDINA,OH,41.13,-81.86
1514,EAST LIVERPOOL,OH,40.63,-80.56
1515,MASSILLON,OH,40.78,-81.52
1516,FREMONT,OH,41.35,-83.11
1517,WILMINGTON,OH,39.44,-83.83
1518,SALEM,OH,40.9,-80.85
1519,CAMBRIDGE,OH,40.02,-81.58
1520,BATAVIA,OH,39.07,-84.18
1521,MIAMISBURG,OH,39.63,-84.27
1522,DEFIANCE,OH,41.28,-84.36
1523,WOODWARD,OK,36.42,-99.4
1524,PONCA CITY,OK,36.72,-97.06
1525,ADA,OK,34.77,-96.66
1526,ALTUS,OK,34.65,-99.28
1527,DUNCAN,OK,34.52,-97.96
1528,MCALESTER,OK,34.92,-95.76
1529,STILLWATER,OK,36.13,-97.07
1530,GROVE,OK,36.59,-94.78
1531,HILLSBORO,OR,45.44,-122.96
1532,ALBANY,OR,44.62,-123.13
1533,OREGON CITY,OR,45.32,-122.52
1534,REDMOND,OR,44.26,-121.22
1535,ONTARIO,OR,44.08,-117.01
1536,NEW CASTLE,PA,40.99,-80.34
1537,PALMERTON,PA,40.8,-75.61
1538,QUAKERTOWN,PA,40.43,-75.34
1539,SEWICKLEY,PA,40.53,-80.18
1540,SOMERSET,PA,40,-79.07
1541,UNIONTOWN,PA,39.89,-79.72
1542,WELLSBORO,PA,41.74,-77.3
1543,LEWISTOWN,PA,40.59,-77.57
1544,GETTYSBURG,PA,39.83,-77.23
1545,BRISTOL,PA,40.1,-74.85
1546,COATESVILLE,PA,39.98,-75.81
1547,CLARION,PA,41.21,-79.38
1548,MEADVILLE,PA,41.64,-80.14
1549,HONESDALE,PA,41.57,-75.25
1550,PHOENIXVILLE,PA,40.13,-75.51
1551,WAYNESBORO,PA,39.75,-77.58
1552,WARREN,PA,41.84,-79.14
1553,SAINT MARYS,PA,41.42,-78.55
1554,GREENVILLE,PA,41.4,-80.38
1555,LATROBE,PA,40.31,-79.38
1556,WAKEFIELD,RI,41.45,-71.51
1557,WOONSOCKET,RI,41.99,-71.5
1558,DILLON,SC,34.42,-79.36
1559,GEORGETOWN,SC,33.36,-79.29
1560,WALTERBORO,SC,32.9,-80.67
1561,CLINTON,SC,34.47,-81.86
1562,UNION,SC,34.72,-81.62
1563,GAFFNEY,SC,35.07,-81.65
1564,CAMDEN,SC,34.26,-80.61
1565,NEWBERRY,SC,34.27,-81.61
1566,MULLINS,SC,34.2,-79.25
1567,CHERAW,SC,34.69,-79.89
1568,HARDEEVILLE,SC,32.27,-81.07
1569,LORIS,SC,34.05,-78.89
1570,WATERTOWN,SD,44.91,-97.16
1571,PIERRE,SD,44.37,-100.32
1572,CROSSVILLE,TN,35.95,-85.03
1573,ELIZABETHTON,TN,36.33,-82.23
1574,PULASKI,TN,35.19,-87.03
1575,GREENEVILLE,TN,36.16,-82.81
1576,HARRIMAN,TN,35.93,-84.56
1577,DICKSON,TN,36.07,-87.37
1578,JEFFERSON CITY,TN,36.11,-83.48
1579,WINCHESTER,TN,35.18,-86.1
1580,MARTIN,TN,36.34,-88.85
1581,SEVIERVILLE,TN,35.89,-83.57
1582,FAYETTEVILLE,TN,35.14,-86.56
1583,LENOIR CITY,TN,35.8,-84.27
1584,UNION CITY,TN,36.42,-89.05
1585,LAWRENCEBURG,TN,35.24,-87.33
1586,CLEVELAND,TN,35.17,-84.86
